,geo,Country Name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
14,brb,Barbados,13560.0,13252.0,12520.0,12486.0,12843.0,12897.0,13471.0,13743.0,14149.0,14560.0,13984.0,13389.0,12580.0,12632.0,12836.0,13043.0,13506.0,14086.0,14549.0,14537.0,15124.0,14713.0,14779.0,15051.0,15210.0,15752.0,16613.0,16904.0,16947.0,16020.0,15597.0,15445.0,15336.0,15088.0,15042.0,15383.0,15738.0,15789.0,15675.0,15639.0,12854.0
15,blr,Belarus,8544.0,8742.0,8946.0,9207.0,9320.0,9220.0,9272.0,9187.0,8966.0,9374.0,8895.0,8784.0,7924.0,7305.0,6458.0,5805.0,5988.0,6699.0,7296.0,7576.0,8053.0,8477.0,8962.0,9660.0,10840.0,11940.0,13215.0,14417.0,15943.0,16010.0,17288.0,18252.0,18577.0,18760.0,19067.0,18308.0,17823.0,18280.0,18885.0,19150.0,19112.0
16,bel,Belgium,28817.0,28556.0,29061.0,29175.0,30018.0,30427.0,30991.0,31819.0,33404.0,34549.0,35620.0,36138.0,36543.0,36050.0,37099.0,37904.0,38330.0,39688.0,40380.0,41715.0,43161.0,43485.0,44030.0,44301.0,45685.0,46489.0,47362.0,48745.0,48577.0,47214.0,48125.0,48308.0,48364.0,48358.0,48903.0,49613.0,49988.0,50597.0,51280.0,51915.0,48298.0
17,blz,Belize,3831.0,3792.0,3683.0,3503.0,3472.0,3410.0,3469.0,3753.0,3990.0,4400.0,4798.0,5248.0,5784.0,6044.0,5931.0,5817.0,5715.0,5708.0,5697.0,5971.0,6521.0,6620.0,6739.0,7176.0,7327.0,7278.0,7431.0,7277.0,7339.0,7173.0,7209.0,7175.0,7179.0,7110.0,7209.0,7259.0,7118.0,7109.0,7118.0,7005.0,5873.0
18,ben,Benin,2002.0,2055.0,2211.0,2055.0,2154.0,2249.0,2230.0,2131.0,2132.0,2057.0,2175.0,2192.0,2180.0,2227.0,2196.0,2253.0,2278.0,2337.0,2358.0,2412.0,2478.0,2533.0,2571.0,2580.0,2614.0,2582.0,2607.0,2685.0,2738.0,2724.0,2705.0,2708.0,2760.0,2877.0,2976.0,2946.0,2961.0,3045.0,3161.0,3287.0,3261.0
19,btn,Bhutan,1375.0,1492.0,1487.0,1568.0,1623.0,1669.0,1849.0,2352.0,2420.0,2541.0,2784.0,2753.0,2880.0,2948.0,3098.0,3300.0,3440.0,3558.0,3683.0,3884.0,4061.0,4309.0,4686.0,4958.0,5165.0,5457.0,5762.0,6743.0,6996.0,7394.0,8191.0,8745.0,9084.0,9164.0,9574.0,10086.0,10775.0,11142.0,11348.0,11832.0,11621.0
20,bol,Bolivia,5152.0,5124.0,4836.0,4562.0,4551.0,4461.0,4260.0,4309.0,4399.0,4446.0,4587.0,4728.0,4706.0,4805.0,4925.0,5050.0,5164.0,5312.0,5469.0,5386.0,5416.0,5403.0,5434.0,5479.0,5605.0,5750.0,5921.0,6085.0,6351.0,6456.0,6613.0,6845.0,7081.0,7444.0,7731.0,7984.0,8203.0,8424.0,8656.0,8724.0,7935.0
21,bih,Bosnia and Herzegovina,5468.0,5477.0,5404.0,5215.0,5132.0,5018.0,5016.0,4750.0,4467.0,4361.0,3712.0,3128.0,2259.0,1613.0,1659.0,2060.0,3959.0,5361.0,6200.0,6779.0,7137.0,7443.0,7829.0,8136.0,8628.0,9381.0,9888.0,10475.0,11070.0,10790.0,10973.0,11213.0,11294.0,11763.0,12105.0,12671.0,13236.0,13798.0,14433.0,14922.0,14196.0
22,bwa,Botswana,4068.0,4396.0,4616.0,5003.0,5500.0,5806.0,6012.0,6272.0,6787.0,8740.0,9074.0,9460.0,9470.0,9406.0,9510.0,9935.0,10266.0,10863.0,10666.0,11447.0,11440.0,11254.0,11727.0,12059.0,12167.0,12484.0,13257.0,14052.0,14616.0,13236.0,14126.0,14770.0,15246.0,16786.0,17264.0,16714.0,17117.0,17253.0,17634.0,17767.0,15967.0
23,bra,Brazil,10538.0,9897.0,9789.0,9340.0,9692.0,10294.0,10896.0,11108.0,10933.0,11123.0,10518.0,10490.0,10265.0,10566.0,10950.0,11251.0,11318.0,11520.0,11384.0,11269.0,11597.0,11599.0,11797.0,11782.0,12312.0,12562.0,12918.0,13561.0,14110.0,13958.0,14868.0,15318.0,15474.0,15800.0,15744.0,15059.0,14446.0,14520.0,14596.0,14652.0,13972.0
